48
dimer molecule, potential=buckingham, temperature=300, volume=8000, timespeed=slowmotion
Cl	+1	+1	+1	0	0	0
Na	+2	+1	+1	0	0	0
Na	+1	+2	+1	0	0	0
Cl	+2	+2	+1	0	0	0
Na	-1	+1	+1	0	0	0
Cl	-2	+1	+1	0	0	0
Cl	-1	+2	+1	0	0	0
Na	-2	+2	+1	0	0	0
Na	+1	-1	+1	0	0	0
Cl	+2	-1	+1	0	0	0
Cl	+1	-2	+1	0	0	0
Na	+2	-2	+1	0	0	0
Cl	-1	-1	+1	0	0	0
Na	-2	-1	+1	0	0	0
Na	-1	-2	+1	0	0	0
Cl	-2	-2	+1	0	0	0
Na	+1	+1	-1	0	0	0
Cl	+2	+1	-1	0	0	0
Cl	+1	+2	-1	0	0	0
Na	+2	+2	-1	0	0	0
Cl	-1	+1	-1	0	0	0
Na	-2	+1	-1	0	0	0
Na	-1	+2	-1	0	0	0
Cl	-2	+2	-1	0	0	0
Cl	+1	-1	-1	0	0	0
Na	+2	-1	-1	0	0	0
Na	+1	-2	-1	0	0	0
Cl	+2	-2	-1	0	0	0
Na	-1	-1	-1	0	0	0
Cl	-2	-1	-1	0	0	0
Cl	-1	-2	-1	0	0	0
Na	-2	-2	-1	0	0	0
Cl	+1	+1	-2	0	0	0
Na	+2	+1	-2	0	0	0
Na	+1	+2	-2	0	0	0
Cl	+2	+2	-2	0	0	0
Na	-1	+1	-2	0	0	0
Cl	-2	+1	-2	0	0	0
Cl	-1	+2	-2	0	0	0
Na	-2	+2	-2	0	0	0
Na	+1	-1	-2	0	0	0
Cl	+2	-1	-2	0	0	0
Cl	+1	-2	-2	0	0	0
Na	+2	-2	-2	0	0	0
Cl	-1	-1	-2	0	0	0
Na	-2	-1	-2	0	0	0
Na	-1	-2	-2	0	0	0
Cl	-2	-2	-2	0	0	0
