64
dimer molecule, potential=buckingham, temperature=300, volume=8000, timespeed=stopped
Cl	+1	+1	+1	0	0	0
Na	+3	+1	+1	0	0	0
Na	+1	+3	+1	0	0	0
Cl	+3	+3	+1	0	0	0
Na	-1	+1	+1	0	0	0
Cl	-3	+1	+1	0	0	0
Cl	-1	+3	+1	0	0	0
Na	-3	+3	+1	0	0	0
Na	+1	-1	+1	0	0	0
Cl	+3	-1	+1	0	0	0
Cl	+1	-3	+1	0	0	0
Na	+3	-3	+1	0	0	0
Cl	-1	-1	+1	0	0	0
Na	-3	-1	+1	0	0	0
Na	-1	-3	+1	0	0	0
Cl	-3	-3	+1	0	0	0
Na	+1	+1	-1	0	0	0
Cl	+3	+1	-1	0	0	0
Cl	+1	+3	-1	0	0	0
Na	+3	+3	-1	0	0	0
Cl	-1	+1	-1	0	0	0
Na	-3	+1	-1	0	0	0
Na	-1	+3	-1	0	0	0
Cl	-3	+3	-1	0	0	0
Cl	+1	-1	-1	0	0	0
Na	+3	-1	-1	0	0	0
Na	+1	-3	-1	0	0	0
Cl	+3	-3	-1	0	0	0
Na	-1	-1	-1	0	0	0
Cl	-3	-1	-1	0	0	0
Cl	-1	-3	-1	0	0	0
Na	-3	-3	-1	0	0	0
Cl	+1	+1	-3	0	0	0
Na	+3	+1	-3	0	0	0
Na	+1	+3	-3	0	0	0
Cl	+3	+3	-3	0	0	0
Na	-1	+1	-3	0	0	0
Cl	-3	+1	-3	0	0	0
Cl	-1	+3	-3	0	0	0
Na	-3	+3	-3	0	0	0
Na	+1	-1	-3	0	0	0
Cl	+3	-1	-3	0	0	0
Cl	+1	-3	-3	0	0	0
Na	+3	-3	-3	0	0	0
Cl	-1	-1	-3	0	0	0
Na	-3	-1	-3	0	0	0
Na	-1	-3	-3	0	0	0
Cl	-3	-3	-3	0	0	0
Na	+1	+1	+3	0	0	0
Cl	+3	+1	+3	0	0	0
Cl	+1	+3	+3	0	0	0
Na	+3	+3	+3	0	0	0
Cl	-1	+1	+3	0	0	0
Na	-3	+1	+3	0	0	0
Na	-1	+3	+3	0	0	0
Cl	-3	+3	+3	0	0	0
Cl	+1	-1	+3	0	0	0
Na	+3	-1	+3	0	0	0
Na	+1	-3	+3	0	0	0
Cl	+3	-3	+3	0	0	0
Na	-1	-1	+3	0	0	0
Cl	-3	-1	+3	0	0	0
Cl	-1	-3	+3	0	0	0
Na	-3	-3	+3	0	0	0
